timestamp,open,high,low,close,volume,close_time,quote_volume
2025-05-03 06:45:00,147.81,147.87,147.57,147.82,8980.509,2025-05-03 06:59:59.999,1326735.60789
2025-05-03 07:00:00,147.83,147.89,147.63,147.7,10029.053,2025-05-03 07:14:59.999,1481798.39821
2025-05-03 07:15:00,147.69,147.81,147.38,147.5,23086.627,2025-05-03 07:29:59.999,3405408.10248
2025-05-03 07:30:00,147.5,148.0,147.5,147.96,15789.323,2025-05-03 07:44:59.999,2332749.38346
2025-05-03 07:45:00,147.97,148.16,147.87,148.08,18924.207,2025-05-03 07:59:59.999,2801030.80128
2025-05-03 08:00:00,148.08,148.12,147.65,147.71,17529.876,2025-05-03 08:14:59.999,2591729.92826
2025-05-03 08:15:00,147.72,148.04,147.71,147.96,16853.837,2025-05-03 08:29:59.999,2493046.37086
2025-05-03 08:30:00,147.96,148.4,147.86,148.25,20529.068,2025-05-03 08:44:59.999,3042108.6384
2025-05-03 08:45:00,148.25,148.35,147.87,147.89,12455.873,2025-05-03 08:59:59.999,1843750.19063
2025-05-03 09:00:00,147.89,147.98,147.45,147.55,15876.756,2025-05-03 09:14:59.999,2343957.12293
2025-05-03 09:15:00,147.55,147.78,147.48,147.61,18134.212,2025-05-03 09:29:59.999,2677480.84586
2025-05-03 09:30:00,147.62,147.62,147.36,147.43,13290.715,2025-05-03 09:44:59.999,1960009.38231
2025-05-03 09:45:00,147.43,147.58,146.89,147.27,30504.972,2025-05-03 09:59:59.999,4490072.20329
2025-05-03 10:00:00,147.27,147.4,147.13,147.39,24635.541,2025-05-03 10:14:59.999,3628161.89753
2025-05-03 10:15:00,147.39,147.64,147.29,147.31,18892.59,2025-05-03 10:29:59.999,2785683.18585
2025-05-03 10:30:00,147.3,147.42,146.89,146.95,21083.484,2025-05-03 10:44:59.999,3103024.82561
2025-05-03 10:45:00,146.95,147.21,146.68,146.78,46735.761,2025-05-03 10:59:59.999,6867209.52252
2025-05-03 11:00:00,146.79,147.14,146.77,146.97,15416.73,2025-05-03 11:14:59.999,2265860.54497
2025-05-03 11:15:00,146.97,147.23,146.87,147.18,12345.469,2025-05-03 11:29:59.999,1815805.38201
2025-05-03 11:30:00,147.18,147.39,146.96,147.17,10830.169,2025-05-03 11:44:59.999,1594539.53564
2025-05-03 11:45:00,147.18,147.23,147.0,147.14,8587.705,2025-05-03 11:59:59.999,1263481.89406
2025-05-03 12:00:00,147.14,147.46,147.13,147.43,13288.719,2025-05-03 12:14:59.999,1958053.95124
2025-05-03 12:15:00,147.44,147.84,147.43,147.81,12611.863,2025-05-03 12:29:59.999,1862637.77711
2025-05-03 12:30:00,147.82,148.08,147.72,148.02,14998.758,2025-05-03 12:44:59.999,2218816.08184
2025-05-03 12:45:00,148.02,148.12,147.81,148.09,17877.756,2025-05-03 12:59:59.999,2646311.92871
2025-05-03 13:00:00,148.09,148.33,148.07,148.15,19750.625,2025-05-03 13:14:59.999,2926931.95712
2025-05-03 13:15:00,148.15,148.51,148.15,148.44,24436.791,2025-05-03 13:29:59.999,3625566.0537
2025-05-03 13:30:00,148.44,148.5,148.1,148.39,24878.157,2025-05-03 13:44:59.999,3688277.80853
2025-05-03 13:45:00,148.4,148.56,148.22,148.42,25462.336,2025-05-03 13:59:59.999,3778623.72245
2025-05-03 14:00:00,148.42,148.84,148.18,148.19,28275.381,2025-05-03 14:14:59.999,4201204.4767
